Email,Full name,Age,Gender,Low-So,Medical Condition,How often do you consume outside food?,Do you monitor salt intake?,Have you used any smart spoon?,Are you willing to try one?,Would you recommend it?,How important is taste in your meals?,What feature would you prefer?,Do you use any suggestions for reducing salt?,Any suggestions/comments?,Salt1,Salt2,Salt3,Salt4,Salt5,Salt6,Salt7,Salt8,Salt9,Salt10
nicholaszhang@hotmail.com,Robert Brown,60,Other,Yes,Yes,Not applicable,Sometimes,Maybe,Maybe,Maybe,Neutral,Voice Control,No,What tax morning meet partner wait similar very yourself.,N/A,Too Salty,Perfect,1/2 tsp,Too Bland,N/A,1/4 tsp,Perfect,1/2 tsp,1/2 tsp
bpitts@gmail.com,Anita Johnson,21,Other,Yes,Yes,Weekly,Sometimes,Maybe,No,No,Very Important,Adjustable,Yes,Air finally writer official age meet great heavy together choice.,Too Bland,Perfect,1/2 tsp,Too Bland,N/A,N/A,Too Salty,Too Salty,N/A,1/4 tsp
denise01@clark.com,Melissa Ward,45,Male,No,No,Weekly,Sometimes,No,Yes,Maybe,Not Important,Voice Control,Yes,Not strong something time trade trip these simply executive.,Perfect,Perfect,1/4 tsp,Too Salty,Perfect,1/4 tsp,More than 1 tsp,Too Bland,1/4 tsp,1/2 tsp
whitelori@gibson.com,James Mcfarland,41,Other,No,Yes,Not applicable,Sometimes,Maybe,Yes,Yes,Very Important,Simple UI,No,Economic nation site around myself authority project.,Too Bland,N/A,1/4 tsp,Perfect,1/2 tsp,More than 1 tsp,Too Bland,Too Bland,Too Salty,Too Bland
johnhale@gmail.com,Seth Salinas,59,Female,Yes,Yes,Not applicable,Never,Maybe,Yes,Maybe,Very Important,Mobile App,No,Detail responsibility chance table decision owner loss sound either exist traditional.,N/A,1/2 tsp,1/4 tsp,1/4 tsp,1/4 tsp,More than 1 tsp,Too Salty,Perfect,N/A,N/A
melissapena@smith.com,Ricardo Ruiz,35,Other,Yes,No,Monthly,Never,Yes,Yes,No,Important,Simple UI,No,To answer rise social who cost might myself.,1/4 tsp,1/2 tsp,1/2 tsp,Too Bland,Too Salty,Too Salty,N/A,Too Salty,1/4 tsp,Perfect
stephaniekane@gmail.com,Joshua Smith,31,Other,No,Yes,Daily,Sometimes,Yes,Yes,Maybe,Neutral,Automated,Yes,Color television far mean north material.,Too Salty,Too Bland,Too Salty,Too Bland,N/A,Perfect,Too Bland,1/2 tsp,1/2 tsp,N/A
hstrickland@mcclain.biz,Keith Glenn,62,Male,No,No,Not applicable,Always,No,Yes,Maybe,Important,Mobile App,No,Store notice west past pull shoulder pick policy man already.,Too Bland,Too Salty,More than 1 tsp,1/2 tsp,Too Salty,Too Salty,Too Salty,Too Bland,Too Bland,N/A
fieldssamuel@yahoo.com,Nicole Garrett,32,Male,No,No,Rarely,Sometimes,No,Maybe,No,Neutral,Mobile App,Yes,Song behind back firm professor coach window meeting accept.,1/4 tsp,1/4 tsp,Perfect,N/A,1/2 tsp,Too Salty,Perfect,Too Bland,Perfect,More than 1 tsp
mitchellbeth@gmail.com,Isaiah Andrews,19,Male,No,No,Weekly,Never,Maybe,No,No,Very Important,Voice Control,No,Help maybe owner race process.,Too Salty,N/A,1/2 tsp,Perfect,More than 1 tsp,Too Salty,Too Salty,More than 1 tsp,N/A,More than 1 tsp
pcollins@hotmail.com,Kimberly Gonzalez,47,Female,Yes,Yes,Monthly,Never,Maybe,No,Yes,Neutral,Voice Control,No,Field various that century necessary little.,N/A,1/2 tsp,Too Salty,More than 1 tsp,1/2 tsp,Too Salty,Too Bland,Too Bland,Too Bland,N/A
hannahbass@yahoo.com,Deborah Sandoval,21,Other,No,Yes,Not applicable,Sometimes,Maybe,Maybe,Yes,Neutral,Automated,Yes,Discover act car I read yourself fight state region benefit despite.,Too Bland,N/A,Too Bland,1/2 tsp,More than 1 tsp,More than 1 tsp,N/A,1/2 tsp,1/2 tsp,More than 1 tsp
calhounkenneth@hotmail.com,Todd Young,59,Other,No,Yes,Rarely,Never,Maybe,Maybe,Maybe,Neutral,Simple UI,No,Security defense believe listen play toward product good.,More than 1 tsp,Too Bland,N/A,1/4 tsp,Too Salty,Too Bland,1/4 tsp,Too Salty,1/4 tsp,More than 1 tsp
michaelwalton@tucker.net,William Gonzales,18,Male,No,No,Rarely,Always,Maybe,No,Yes,Not Important,Simple UI,No,Education number kind wonder national.,1/2 tsp,1/4 tsp,1/2 tsp,1/4 tsp,1/4 tsp,1/4 tsp,Perfect,N/A,Perfect,N/A
pclark@gmail.com,Diane Russell,41,Male,Yes,No,Weekly,Always,Yes,Yes,No,Very Important,Voice Control,Yes,On world cultural gas room participant whatever between card natural.,Perfect,More than 1 tsp,Perfect,Perfect,1/2 tsp,1/4 tsp,Too Salty,1/4 tsp,1/4 tsp,Perfect
jeremy50@franklin.org,Christopher Lester,40,Other,Yes,No,Monthly,Never,No,Yes,No,Important,Simple UI,Yes,By hand likely wait society level evidence point.,Perfect,1/4 tsp,Too Salty,Too Bland,Too Bland,Perfect,N/A,1/4 tsp,Too Salty,More than 1 tsp
tracy15@chapman.com,Alfred Arroyo,60,Female,Yes,Yes,Daily,Always,Maybe,Maybe,Maybe,Important,Automated,No,Rate on eight eat writer.,Too Salty,N/A,N/A,N/A,1/2 tsp,1/2 tsp,1/4 tsp,N/A,1/2 tsp,Perfect
anne95@yahoo.com,Kylie Miles,44,Male,No,No,Monthly,Never,Yes,Maybe,No,Very Important,Mobile App,No,Light song necessary direction recently manager question past main leader point.,Too Bland,Perfect,More than 1 tsp,More than 1 tsp,Too Bland,N/A,Too Salty,N/A,Too Salty,Too Salty
nunezjudy@vang.com,Thomas Oconnell,30,Male,Yes,Yes,Daily,Always,Maybe,Yes,Maybe,Not Important,Adjustable,No,Brother yes hard the easy then full law operation.,Perfect,More than 1 tsp,N/A,N/A,Perfect,Perfect,Perfect,Too Salty,1/4 tsp,More than 1 tsp
carterlaura@blackburn.biz,Lawrence Taylor,18,Female,Yes,Yes,Daily,Never,Yes,No,No,Not Important,Adjustable,Yes,Once parent many impact mouth step so.,1/4 tsp,1/2 tsp,Too Salty,More than 1 tsp,Too Salty,1/2 tsp,N/A,1/2 tsp,1/2 tsp,1/4 tsp
bradleynichole@hotmail.com,Amy Clarke,31,Male,No,Yes,Rarely,Always,Yes,Yes,Yes,Neutral,Adjustable,No,Hear finish everybody in the.,Too Bland,1/4 tsp,1/2 tsp,Too Bland,N/A,N/A,Perfect,Too Bland,Too Salty,Too Bland
jonathan73@garcia-hunter.com,Tara Green,54,Female,Yes,Yes,Monthly,Never,Yes,Maybe,Yes,Very Important,Automated,No,Specific language prevent police speak say discuss.,N/A,1/2 tsp,1/4 tsp,1/4 tsp,More than 1 tsp,1/4 tsp,Perfect,Perfect,Too Salty,More than 1 tsp
davisjohn@gmail.com,Megan Johnson,34,Male,No,No,Not applicable,Never,Maybe,No,Maybe,Not Important,Mobile App,No,Do seven magazine season myself crime.,1/2 tsp,1/2 tsp,1/2 tsp,More than 1 tsp,Too Bland,Too Salty,More than 1 tsp,Perfect,Too Bland,Too Bland
fordzachary@gmail.com,Katherine White,26,Other,No,No,Rarely,Never,Yes,Yes,No,Important,Adjustable,No,Including describe lose everyone full citizen since.,Too Bland,1/2 tsp,1/2 tsp,Too Salty,More than 1 tsp,Perfect,N/A,1/2 tsp,Too Bland,N/A
susan59@miller-clark.biz,Chris Chung,28,Female,No,Yes,Rarely,Sometimes,Yes,Yes,No,Very Important,Mobile App,Yes,Week bank performance but down education nature soon ready take.,Too Salty,1/2 tsp,1/2 tsp,1/4 tsp,1/2 tsp,1/2 tsp,Too Bland,Too Bland,1/2 tsp,Too Salty
salazarheather@yahoo.com,Christopher Smith,39,Other,Yes,Yes,Weekly,Always,No,Maybe,No,Neutral,Mobile App,No,Fly dream question remain indeed easy opportunity authority feeling voice learn.,Too Salty,1/2 tsp,Too Bland,1/2 tsp,Too Salty,Too Bland,1/4 tsp,N/A,Too Salty,1/2 tsp
carol19@hotmail.com,Brandon Munoz,47,Female,Yes,No,Daily,Always,Maybe,Maybe,No,Not Important,Automated,Yes,Town before third own vote ahead democratic office can.,1/4 tsp,Too Salty,1/4 tsp,N/A,N/A,N/A,More than 1 tsp,Too Salty,N/A,More than 1 tsp
jasmine40@gmail.com,Hayley Whitehead,55,Female,No,Yes,Rarely,Never,No,No,Maybe,Very Important,Simple UI,Yes,Section result role movie though.,1/2 tsp,Too Salty,More than 1 tsp,1/4 tsp,1/4 tsp,1/2 tsp,Too Salty,Too Salty,1/4 tsp,Perfect
xramos@nichols.com,Jessica Simmons,23,Female,Yes,Yes,Rarely,Always,Maybe,Maybe,Yes,Very Important,Automated,No,Whose perhaps reduce station issue group against message interest.,N/A,More than 1 tsp,1/4 tsp,Perfect,Too Salty,Too Salty,Too Salty,Perfect,1/2 tsp,N/A
monica80@martinez-orr.org,Sandra Ferguson,19,Female,No,Yes,Weekly,Never,Yes,Yes,No,Not Important,Simple UI,No,Threat role close relate truth every none know.,1/4 tsp,1/2 tsp,N/A,1/4 tsp,Too Salty,Perfect,Too Salty,1/4 tsp,1/2 tsp,More than 1 tsp
xcochran@dunlap.org,Alejandra Robles,52,Other,No,No,Rarely,Sometimes,No,No,Maybe,Very Important,Adjustable,No,Like ever century each reach maybe enjoy.,Too Bland,1/4 tsp,More than 1 tsp,Too Bland,Too Salty,N/A,1/2 tsp,Too Bland,Perfect,N/A
larsonsherry@gmail.com,Cynthia Sawyer,64,Male,Yes,No,Monthly,Always,Yes,Yes,Maybe,Not Important,Automated,Yes,Star management easy best career thousand suddenly establish.,1/2 tsp,N/A,Too Salty,Perfect,Too Bland,1/2 tsp,Perfect,Too Salty,Too Salty,1/2 tsp
leslie60@hotmail.com,Anne Ray,25,Other,Yes,Yes,Monthly,Never,No,No,Maybe,Very Important,Simple UI,Yes,Candidate perhaps situation name commercial term.,Perfect,Perfect,More than 1 tsp,More than 1 tsp,Too Bland,Perfect,1/2 tsp,Too Salty,N/A,1/2 tsp
zcox@taylor.net,Calvin Watson,37,Other,Yes,No,Weekly,Always,Maybe,Yes,Maybe,Neutral,Voice Control,Yes,Fact address season hear office assume close behind weight.,1/4 tsp,1/2 tsp,Too Salty,More than 1 tsp,Too Bland,Perfect,1/4 tsp,1/4 tsp,More than 1 tsp,1/2 tsp
michael59@jackson.net,Robert Gibson,43,Male,No,Yes,Monthly,Sometimes,No,No,Maybe,Not Important,Mobile App,Yes,Inside per floor friend court recently customer remain.,Perfect,Too Bland,N/A,More than 1 tsp,1/2 tsp,Perfect,1/4 tsp,1/4 tsp,1/4 tsp,N/A
kristopher31@baker.biz,James Alvarez,19,Other,No,No,Rarely,Never,No,Yes,No,Very Important,Simple UI,Yes,Its drug eight country until more successful five phone.,More than 1 tsp,N/A,Too Bland,More than 1 tsp,N/A,More than 1 tsp,1/2 tsp,Perfect,1/2 tsp,N/A
bcruz@gmail.com,Andrew Bentley,45,Other,Yes,No,Rarely,Never,Yes,Yes,Yes,Not Important,Automated,Yes,Style million player environment.,More than 1 tsp,More than 1 tsp,More than 1 tsp,More than 1 tsp,Perfect,More than 1 tsp,N/A,1/4 tsp,Perfect,1/2 tsp
rogersstacy@robinson.com,Michael Johnson,41,Male,No,No,Daily,Always,Maybe,Maybe,No,Important,Adjustable,Yes,Our state especially responsibility administration forward I.,Too Bland,More than 1 tsp,Too Bland,Too Salty,Perfect,Perfect,Too Salty,1/2 tsp,1/4 tsp,N/A
jasonmyers@martinez.com,Melanie Moore,47,Female,No,No,Rarely,Sometimes,Yes,Yes,Yes,Important,Simple UI,No,Daughter economic light direction song want meeting.,Too Salty,1/4 tsp,More than 1 tsp,More than 1 tsp,Perfect,N/A,N/A,Too Salty,1/2 tsp,N/A
caleb37@gmail.com,Kristin Doyle,46,Female,No,No,Rarely,Sometimes,Maybe,Maybe,Yes,Not Important,Automated,No,Tend eye half especially reach.,Perfect,Too Salty,Too Bland,Perfect,1/4 tsp,1/2 tsp,Too Salty,More than 1 tsp,N/A,1/2 tsp
michael59@price.org,Stephen Porter,26,Male,Yes,Yes,Rarely,Sometimes,No,Maybe,Yes,Important,Adjustable,Yes,On me worry knowledge entire news kid base not.,More than 1 tsp,1/4 tsp,Too Salty,1/2 tsp,Too Salty,Too Bland,Perfect,1/4 tsp,Too Bland,1/4 tsp
woodardryan@murphy-padilla.com,Dakota Arroyo,55,Other,No,No,Daily,Sometimes,No,No,No,Important,Mobile App,No,Seven system trouble eight international chance.,Perfect,1/4 tsp,Too Salty,Too Salty,1/4 tsp,N/A,1/4 tsp,1/2 tsp,Too Bland,Too Bland
hornjacob@hotmail.com,Robert Huber,56,Female,Yes,Yes,Rarely,Always,Maybe,No,Maybe,Important,Adjustable,No,Lead they interest green car.,N/A,Too Bland,Perfect,N/A,Too Bland,Too Salty,More than 1 tsp,Too Bland,Too Salty,More than 1 tsp
shirleymontgomery@yahoo.com,Erica Chang,21,Other,Yes,Yes,Not applicable,Sometimes,Maybe,No,No,Neutral,Simple UI,No,Real edge window such suffer citizen there keep wall.,1/4 tsp,Too Bland,Too Salty,N/A,Too Bland,Too Bland,1/2 tsp,More than 1 tsp,Too Salty,Too Bland
brian12@blackwell.org,Michael Vasquez,18,Male,No,Yes,Weekly,Sometimes,No,Yes,Yes,Not Important,Voice Control,Yes,Page weight him near serious.,Too Bland,1/2 tsp,Too Bland,N/A,Perfect,1/2 tsp,More than 1 tsp,Perfect,1/4 tsp,Perfect
jennifer91@porter-hansen.com,Thomas Peterson,32,Female,Yes,No,Not applicable,Sometimes,Maybe,No,No,Neutral,Adjustable,Yes,Across science exactly start easy light.,More than 1 tsp,N/A,Too Bland,1/4 tsp,Too Salty,Too Salty,1/4 tsp,Perfect,1/4 tsp,Too Salty
dgray@mccoy-griffin.com,Matthew Hernandez,29,Male,Yes,Yes,Monthly,Never,Yes,Maybe,Maybe,Neutral,Adjustable,No,That parent traditional scientist good.,1/2 tsp,Too Salty,More than 1 tsp,1/2 tsp,N/A,1/2 tsp,Perfect,1/2 tsp,1/4 tsp,Perfect
krodriguez@gmail.com,Valerie Wong,29,Female,No,No,Monthly,Sometimes,Maybe,No,Maybe,Neutral,Adjustable,Yes,Scene everyone goal thus artist candidate woman time.,More than 1 tsp,N/A,1/2 tsp,Too Salty,1/2 tsp,N/A,N/A,Perfect,Perfect,N/A
bpeterson@hotmail.com,Elizabeth Turner,53,Female,Yes,Yes,Monthly,Sometimes,Maybe,No,Maybe,Important,Simple UI,Yes,Thousand trade ball his point again.,Too Bland,Perfect,1/2 tsp,Too Salty,Too Salty,1/2 tsp,Perfect,More than 1 tsp,Too Bland,1/2 tsp
russell27@collins.com,Jennifer Ochoa,62,Female,No,Yes,Rarely,Always,Yes,Yes,No,Important,Adjustable,Yes,Final act clear against morning next.,Perfect,Perfect,Too Salty,Too Bland,1/2 tsp,Perfect,More than 1 tsp,Perfect,N/A,N/A
evanwalker@hotmail.com,Heather Hunt,35,Other,Yes,Yes,Rarely,Always,No,Maybe,Yes,Not Important,Simple UI,Yes,Nor politics reflect actually rock watch up wide board.,More than 1 tsp,1/2 tsp,1/4 tsp,Perfect,Too Salty,Too Salty,N/A,Too Bland,More than 1 tsp,Too Salty
adamstonya@clark.com,Brandon Strong,34,Female,Yes,Yes,Daily,Always,Yes,Yes,No,Very Important,Automated,No,Should recognize tree real could executive kitchen think.,Too Salty,1/4 tsp,Perfect,N/A,1/2 tsp,N/A,1/4 tsp,Perfect,Too Bland,More than 1 tsp
stephensonalexandra@gmail.com,Laurie Mcfarland,50,Other,No,Yes,Daily,Always,No,No,Maybe,Not Important,Simple UI,No,Can able another man share require push enough senior himself.,Perfect,1/4 tsp,Perfect,Too Bland,1/4 tsp,Too Salty,Too Salty,1/2 tsp,Too Bland,Perfect
brentharris@gmail.com,Regina Jones,56,Female,No,Yes,Weekly,Never,Maybe,No,No,Neutral,Simple UI,Yes,Interest reason road car reality college finish movement either.,1/2 tsp,1/2 tsp,Perfect,Too Salty,Too Bland,Perfect,Perfect,More than 1 tsp,Too Bland,Perfect
adrian99@thomas.org,Brian Thompson,36,Female,No,Yes,Weekly,Sometimes,No,No,Yes,Neutral,Adjustable,Yes,Study campaign total likely paper physical.,Too Salty,N/A,N/A,Perfect,1/4 tsp,Too Bland,Too Salty,Too Salty,Too Bland,1/4 tsp
greenjennifer@hotmail.com,Kimberly Paul,32,Female,No,Yes,Rarely,Sometimes,No,No,No,Important,Simple UI,Yes,Daughter since section watch today six your.,1/2 tsp,N/A,More than 1 tsp,Too Bland,Too Bland,Too Bland,Too Salty,Too Salty,Too Salty,Too Salty
parksjay@sandoval.com,Daniel Neal,19,Female,No,No,Rarely,Always,Yes,Maybe,No,Important,Automated,No,Control pass kind wall finally.,Too Salty,1/4 tsp,More than 1 tsp,Perfect,Too Salty,1/2 tsp,Too Salty,Too Bland,Too Salty,1/2 tsp
paulwalker@fowler.com,Phillip Henson,47,Other,Yes,Yes,Weekly,Always,Maybe,Yes,Maybe,Neutral,Automated,Yes,Sure benefit this expert population central leg upon economy.,N/A,More than 1 tsp,Perfect,N/A,1/4 tsp,More than 1 tsp,More than 1 tsp,Too Salty,Too Salty,Perfect
foxzachary@yahoo.com,Peter Donaldson,22,Other,Yes,No,Monthly,Never,Maybe,Yes,Maybe,Neutral,Automated,Yes,Rather adult pressure close budget health.,Too Bland,1/2 tsp,Perfect,1/4 tsp,Perfect,1/4 tsp,More than 1 tsp,Too Bland,More than 1 tsp,More than 1 tsp
dwhite@baker.org,Eric Hampton,19,Other,No,Yes,Weekly,Never,No,Yes,Maybe,Very Important,Adjustable,No,Gun someone politics direction maybe student outside nor near respond.,Perfect,1/2 tsp,N/A,Too Salty,N/A,Too Salty,1/2 tsp,1/4 tsp,More than 1 tsp,Too Salty
tinahall@gmail.com,Leslie Galvan,18,Other,Yes,Yes,Rarely,Never,No,Yes,Yes,Very Important,Automated,No,Involve us spring here cultural light.,Too Bland,1/2 tsp,Too Bland,More than 1 tsp,Perfect,1/2 tsp,1/2 tsp,Perfect,Too Bland,N/A
tonyabutler@yahoo.com,Stacy Mcgrath,59,Other,Yes,No,Daily,Always,No,Yes,No,Very Important,Voice Control,Yes,Every race place attack.,1/4 tsp,1/4 tsp,Perfect,1/4 tsp,More than 1 tsp,Too Salty,1/2 tsp,More than 1 tsp,Perfect,N/A
vfloyd@hotmail.com,Rebecca Mccullough,22,Male,No,Yes,Daily,Never,No,No,No,Not Important,Simple UI,No,Necessary ten point itself month.,Too Bland,1/4 tsp,Perfect,More than 1 tsp,Perfect,1/2 tsp,More than 1 tsp,Too Bland,Too Bland,N/A
shellyfreeman@ortiz.com,Michael Evans,28,Male,Yes,No,Daily,Never,Maybe,Maybe,No,Important,Simple UI,No,Yourself church create where cost address whatever team.,Too Salty,1/4 tsp,1/2 tsp,N/A,Perfect,1/2 tsp,Too Bland,Too Salty,Too Salty,Too Bland
william04@hunter.net,Colleen Holland,65,Other,Yes,No,Rarely,Sometimes,Yes,Maybe,Maybe,Not Important,Automated,Yes,Value north sport involve available expert firm.,1/2 tsp,More than 1 tsp,Too Salty,Too Salty,1/4 tsp,More than 1 tsp,Perfect,Too Bland,N/A,Too Bland
smithdana@hotmail.com,Miss Melissa Ortiz,58,Male,Yes,No,Daily,Sometimes,Maybe,Yes,Yes,Important,Voice Control,No,Available best million high moment write nothing hair act.,Perfect,1/4 tsp,More than 1 tsp,Too Bland,1/2 tsp,More than 1 tsp,Too Bland,1/4 tsp,Perfect,More than 1 tsp
loriwright@sanford.biz,Darlene Franklin,50,Other,Yes,Yes,Not applicable,Never,No,Yes,Yes,Important,Voice Control,Yes,Soldier police mission although analysis remain it specific prevent.,More than 1 tsp,Too Bland,N/A,More than 1 tsp,Too Bland,1/2 tsp,Too Salty,1/4 tsp,N/A,More than 1 tsp
fjohnson@ball.net,Allison Miller,21,Male,No,No,Monthly,Never,Yes,No,No,Not Important,Simple UI,Yes,Deep dinner able wonder back treat generation practice.,Too Salty,1/4 tsp,More than 1 tsp,Perfect,1/2 tsp,1/2 tsp,N/A,N/A,N/A,More than 1 tsp
williamscarolyn@hotmail.com,Justin Morse,46,Female,Yes,Yes,Monthly,Always,No,Maybe,Maybe,Neutral,Voice Control,Yes,Assume beyond section court thought quickly feeling.,1/2 tsp,N/A,1/4 tsp,Perfect,1/4 tsp,1/2 tsp,Too Bland,Too Salty,N/A,1/2 tsp
hallfrank@hotmail.com,Shane Brown,44,Male,Yes,Yes,Monthly,Sometimes,Maybe,Maybe,Maybe,Neutral,Adjustable,Yes,Major power couple environmental show evidence agency house.,N/A,1/2 tsp,More than 1 tsp,1/2 tsp,1/2 tsp,1/4 tsp,1/4 tsp,Too Salty,N/A,Too Bland
padillaevan@hotmail.com,David Gallagher,34,Male,No,Yes,Not applicable,Sometimes,Yes,No,No,Neutral,Voice Control,Yes,While course see however never message clearly until customer act.,1/4 tsp,1/4 tsp,1/4 tsp,1/4 tsp,1/2 tsp,Too Bland,Perfect,1/4 tsp,Too Bland,1/2 tsp
westdawn@yahoo.com,Joshua Buchanan,37,Female,Yes,No,Monthly,Never,No,Maybe,No,Not Important,Automated,Yes,Art election race fine himself deep success discover on door.,More than 1 tsp,Too Bland,Perfect,N/A,Perfect,Too Salty,More than 1 tsp,More than 1 tsp,Too Salty,Too Salty
ahunter@hotmail.com,Jesse Jennings II,30,Other,No,Yes,Daily,Always,Maybe,Maybe,Maybe,Very Important,Simple UI,Yes,Sound institution drive understand consider one seem chance.,More than 1 tsp,N/A,1/2 tsp,1/2 tsp,1/4 tsp,1/4 tsp,1/4 tsp,1/2 tsp,Too Bland,1/4 tsp
pwells@mclaughlin.com,Christopher Morales,60,Female,Yes,Yes,Rarely,Never,Maybe,Maybe,No,Not Important,Automated,No,Risk response there today too age short message.,Perfect,N/A,N/A,Too Salty,1/2 tsp,Perfect,N/A,N/A,1/4 tsp,N/A
vhanson@blanchard.net,Joanna Lowery,52,Male,No,Yes,Rarely,Sometimes,No,No,Yes,Very Important,Automated,No,System recent ever work class watch material between second pick.,Too Salty,N/A,1/2 tsp,Too Bland,1/2 tsp,1/2 tsp,Too Bland,1/2 tsp,Too Bland,1/4 tsp
eddiedavies@crawford.com,Cassandra Martinez,32,Male,No,No,Daily,Always,Yes,Yes,Maybe,Not Important,Automated,Yes,Suffer race purpose late son future once.,Too Salty,Perfect,More than 1 tsp,Too Salty,Too Bland,Perfect,Perfect,Perfect,N/A,1/4 tsp
amyaguilar@yahoo.com,Erin White,50,Female,Yes,No,Not applicable,Sometimes,Yes,No,No,Not Important,Simple UI,Yes,Lose guess peace position.,1/2 tsp,1/4 tsp,1/2 tsp,1/4 tsp,N/A,More than 1 tsp,1/4 tsp,More than 1 tsp,N/A,1/2 tsp
lbennett@allen.net,Rhonda Williamson,36,Male,No,Yes,Rarely,Sometimes,Maybe,Yes,Yes,Very Important,Voice Control,Yes,Significant chair pay system manage season direction decade me out.,Perfect,Too Bland,1/2 tsp,1/2 tsp,More than 1 tsp,N/A,More than 1 tsp,Too Salty,Perfect,Too Salty
justin39@gmail.com,Cassandra Blanchard,57,Female,No,No,Not applicable,Sometimes,Maybe,No,Maybe,Not Important,Simple UI,Yes,While onto stay together from owner hundred.,N/A,Too Salty,More than 1 tsp,1/4 tsp,Too Bland,N/A,N/A,N/A,Perfect,N/A
pharrell@hotmail.com,Martha Davis,61,Male,No,No,Weekly,Always,No,No,No,Neutral,Voice Control,Yes,How service author plan practice key.,Too Bland,More than 1 tsp,More than 1 tsp,More than 1 tsp,1/4 tsp,Too Salty,1/2 tsp,1/4 tsp,More than 1 tsp,Too Salty
meghan45@gmail.com,Alexander Jenkins,28,Other,Yes,No,Rarely,Sometimes,No,No,Maybe,Important,Mobile App,Yes,Pull together leave sense agree reflect enter prepare.,Too Salty,Too Salty,Perfect,1/4 tsp,Too Salty,N/A,N/A,Too Bland,N/A,N/A
lisa95@gmail.com,Kimberly Allison,26,Other,No,No,Rarely,Sometimes,No,No,Yes,Not Important,Voice Control,Yes,All manage including speech south.,Too Bland,1/4 tsp,Too Salty,More than 1 tsp,N/A,1/2 tsp,Too Bland,1/4 tsp,1/4 tsp,1/2 tsp
garciamark@hotmail.com,Bobby Wilson,53,Female,Yes,No,Rarely,Sometimes,Maybe,Yes,Maybe,Not Important,Simple UI,Yes,Evidence start body toward million ever turn information language meeting.,Perfect,N/A,Too Salty,Too Bland,Too Bland,N/A,1/2 tsp,Perfect,1/2 tsp,N/A
ujackson@austin-harris.com,Mary Sims,20,Male,No,No,Monthly,Always,No,Maybe,Maybe,Very Important,Voice Control,Yes,Positive two dark education food to traditional century.,Too Salty,Perfect,More than 1 tsp,More than 1 tsp,1/2 tsp,Too Salty,1/2 tsp,N/A,Perfect,More than 1 tsp
anthony19@gmail.com,Robert Smith,51,Female,No,Yes,Not applicable,Never,No,No,Maybe,Neutral,Adjustable,Yes,Effort mention wall set institution chair.,1/4 tsp,Too Salty,Too Salty,N/A,1/4 tsp,Too Salty,N/A,N/A,Too Salty,Too Salty
maynarddonald@gmail.com,Michael Cross,29,Other,Yes,Yes,Monthly,Never,No,Maybe,Yes,Not Important,Simple UI,Yes,Support film of myself poor score reason.,Too Bland,Too Bland,More than 1 tsp,Perfect,Too Bland,1/2 tsp,Too Salty,More than 1 tsp,Perfect,Perfect
emoody@stanton-allen.com,Jesse Brown,53,Female,No,Yes,Daily,Always,No,Maybe,No,Not Important,Mobile App,Yes,At paper source final establish century job exist.,1/2 tsp,Too Salty,Too Bland,More than 1 tsp,Too Salty,1/2 tsp,More than 1 tsp,1/4 tsp,More than 1 tsp,Too Bland
bparsons@gmail.com,Michael Duncan MD,48,Male,No,No,Rarely,Always,No,Yes,Yes,Very Important,Simple UI,Yes,Role wife other wife but account gun visit might individual.,N/A,1/4 tsp,N/A,N/A,1/2 tsp,Perfect,Too Bland,N/A,1/4 tsp,Too Salty
tiffany10@owens.net,Connie Floyd,36,Male,Yes,No,Monthly,Always,Yes,Yes,Maybe,Important,Automated,Yes,Mention once represent vote teacher interesting beautiful.,N/A,N/A,N/A,N/A,Perfect,More than 1 tsp,N/A,N/A,Too Salty,More than 1 tsp
jonathan70@willis-williams.com,Brenda Mitchell,51,Male,Yes,Yes,Monthly,Always,Maybe,No,Yes,Not Important,Automated,Yes,Just current agreement western community success wrong defense area least.,More than 1 tsp,1/4 tsp,Too Salty,Too Salty,Too Salty,1/2 tsp,Too Bland,1/4 tsp,N/A,1/4 tsp
glewis@chambers.com,Gregory Arnold,52,Other,No,Yes,Not applicable,Always,Maybe,Maybe,Yes,Important,Automated,No,Energy lay year new set society two exactly.,More than 1 tsp,Too Salty,Too Salty,Too Salty,1/4 tsp,1/4 tsp,1/4 tsp,Perfect,Too Salty,Too Salty
gcervantes@yahoo.com,Danny Perry,57,Other,Yes,Yes,Daily,Never,Yes,Yes,No,Very Important,Mobile App,Yes,Democrat type store when.,1/4 tsp,1/4 tsp,Too Salty,More than 1 tsp,N/A,N/A,Too Salty,1/4 tsp,Too Bland,Too Bland
janetbraun@yahoo.com,Laura Johnson MD,30,Male,No,Yes,Daily,Never,No,Yes,Yes,Neutral,Mobile App,Yes,Plan day culture television education idea attention best choose I.,N/A,Too Salty,Perfect,N/A,Perfect,1/4 tsp,Perfect,1/2 tsp,More than 1 tsp,Perfect
farmermargaret@chambers.biz,Mary Black,19,Female,No,No,Daily,Sometimes,Maybe,Maybe,Yes,Not Important,Adjustable,Yes,Few foreign industry quality staff three while stock some education factor.,N/A,1/2 tsp,Too Salty,1/2 tsp,Perfect,Perfect,Too Bland,Too Salty,1/4 tsp,Too Bland
